Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,NOV,NM_002514.2,45,184,1609,983,225,297,807,68,572,261,46,124,28,39,85,34,27,26,70,45,217,92,213,94,48,26,59
Endogenous,NPTX1,NM_002522.3,43,94,97,275,92,380,28,18,28,60,15,78,44,46,25,61,15,11,9,16,32,50,219,135,26,56,32
Endogenous,NR4A1,NM_173157.1,152,298,893,224,145,313,631,257,365,2162,974,239,205,342,158,120,115,132,290,485,72,54,229,269,106,656,119
Endogenous,OAS3,NM_006187.2,447,385,444,711,341,1290,636,340,140,286,266,325,692,637,582,730,241,481,313,345,138,291,355,291,251,651,2127
Endogenous,OXTR,NM_000916.3,41,100,114,165,27,113,12,31,34,17,12,34,19,32,41,36,13,166,14,22,39,38,40,26,25,62,22
Endogenous,PAEP,XM_005263406.2,7,23,46,62,50,37,8,23,25,17,15,20,36,26,78,12,13,21,6,52,70,31,34,21,26,8,51
Endogenous,PAPL,NM_001004318.2,7,29,72,105,52,46,14,10,16,12,15,26,11,8,18,9,5,13,4,15,18,11,40,16,7,33,9
Endogenous,PBX1,NM_002585.2,1016,773,3773,3426,984,8679,2995,746,3037,1179,635,1935,404,535,358,303,635,1346,95,541,838,261,1188,730,260,5172,3520
Endogenous,PCOLCE,NM_002593.3,1381,1386,4500,1795,6624,1316,757,2069,1841,3902,2343,2287,578,1355,7810,3921,996,273,1616,5851,17439,3275,1621,1839,2048,645,1409
Endogenous,PDGFB,NM_033016.2,170,257,587,306,304,432,134,114,176,194,78,125,73,233,147,48,55,124,92,134,117,53,66,48,49,148,111
Endogenous,PDGFRA,NM_006206.3,707,623,1955,508,3265,572,353,1000,2991,2638,842,945,116,807,1479,941,384,305,1196,1636,2295,1263,438,1356,596,341,548
Endogenous,PDIA4,NM_004911.4,1580,1122,3231,5966,1527,17031,972,2367,2193,3141,908,1561,2843,3208,2169,2366,646,3738,2228,1772,3535,1929,1362,3321,1307,2865,4250
Endogenous,PDK2,NM_002611.3,415,565,1108,305,593,1092,518,290,402,375,297,322,392,215,317,213,147,390,228,372,344,343,190,352,253,1583,194
Endogenous,PDPN,NM_006474.4,165,229,594,157,1899,407,193,608,337,247,645,657,3799,725,1588,2375,308,348,973,1650,1152,2366,308,1452,1457,66,415
Endogenous,PHLDB1,NM_001144758.1,659,585,1759,1289,1755,698,737,1062,1827,2965,570,1198,2358,652,1010,1492,593,562,350,1837,848,1076,464,2202,812,2158,1895
Endogenous,PI3,NM_002638.3,55,62,126,1683,126,145,209,62,21,182,924,219,26,127,379,11,1348,16,44,89,10,4756,2582,30,10,7,786
Endogenous,PIK3C2B,NM_002646.3,556,199,637,643,746,1217,319,211,150,325,274,378,112,130,108,121,127,206,157,196,170,93,395,85,125,583,409
Endogenous,PKMYT1,NM_004203.3,128,63,1212,721,124,1302,918,232,479,315,16,380,284,195,168,111,157,614,124,72,97,81,311,296,50,231,531
Endogenous,PLAT,NM_000931.2,398,1513,2214,919,617,2216,972,1609,333,1414,1127,1790,6037,1102,762,2200,1179,655,273,3584,2338,1320,2177,26218,1127,907,793
Endogenous,PMAIP1,NM_021127.2,294,322,692,786,307,317,1188,279,726,448,315,565,796,414,601,537,71,1016,287,308,302,613,604,471,129,837,817
Endogenous,PMP22,NM_000304.3,221,439,3152,2184,4367,625,643,435,454,3934,497,897,880,960,681,813,234,180,430,797,680,505,548,2237,408,1744,459
Endogenous,PNMA2,NM_007257.5,9,76,196,108,41,65,101,27,91,36,15,24,9,37,221,32,15,14,66,38,70,23,54,30,26,53,24
Endogenous,PPL,NM_002705.4,204,250,1012,1319,2869,1779,1872,327,344,261,203,143,12,497,223,62,313,271,34,257,41,66,2228,460,202,476,1413
Endogenous,PPP1R3C,NM_005398.4,37,62,137,127,486,86,39,43,25,713,47,71,16,114,79,40,44,19,15,60,107,98,141,98,26,430,48
Endogenous,PRR9,NM_001195571.1,25,79,101,186,165,135,32,15,16,10,12,13,6,14,10,10,8,11,6,9,15,13,17,10,11,7,8
Endogenous,PRSS22,NM_022119.3,260,212,963,837,691,1928,433,117,132,149,549,145,11,91,131,19,127,194,16,117,32,43,448,13,31,422,131
Endogenous,PSG5,NM_002781.3,7,5,20,22,36,36,8,18,12,9,26,7,10,21,25,18,12,6,2,221,22,19,17,13,25,8,8
Endogenous,PSRC1,NM_001032290.1,87,156,841,874,195,1463,263,67,329,410,29,357,176,206,206,114,51,214,101,63,148,92,144,253,30,751,700
Endogenous,PTGIS,NM_000961.3,78,307,1611,163,986,531,166,461,573,834,126,209,62,124,369,197,46,242,611,144,268,176,125,60,144,45,121
Endogenous,PTHLH,NM_198965.1,18,83,75,88,56,98,85,43,93,53,59,119,698,94,52,401,246,14,25,856,747,2384,2147,1269,103,28,43
Endogenous,PTPRC,NM_080923.2,1814,264,430,361,374,271,140,179,39,211,228,150,594,187,151,381,112,138,668,327,114,152,135,192,343,242,247
Endogenous,PTX3,NM_002852.3,91,241,443,268,1249,747,756,111,859,332,57,408,633,280,1454,1074,18,18,90,98,604,324,24,445,216,4034,271
Endogenous,RAB31,NM_006868.3,804,1397,3506,2258,2626,1821,1102,1752,938,2461,1540,1674,1706,2020,2147,2355,1435,554,1569,5028,1361,1931,1545,1456,1251,1368,2226
Endogenous,RAB40B,NM_006822.2,237,300,1316,1563,405,3007,1326,220,574,262,114,567,262,220,195,121,177,726,37,348,184,187,431,596,145,1519,1002
Endogenous,RAF1,NM_002880.3,1201,812,2331,2092,1543,2984,3615,1117,5538,1707,571,1397,1316,1215,1924,792,508,2301,698,1158,1100,580,1004,1367,662,4685,1457
Endogenous,RASD2,NM_014310.3,244,278,522,229,184,1558,225,249,36,86,88,224,170,422,71,45,42,375,32,82,49,70,84,32,20,138,45
Endogenous,REL,NM_002908.3,834,281,716,1316,1072,624,5911,486,639,465,391,400,657,586,265,403,269,188,92,591,289,332,794,396,325,2039,745
Endogenous,RFC3,NM_002915.3,237,182,784,1184,506,928,784,196,1768,479,64,679,446,248,194,185,98,649,94,133,142,109,448,753,111,1504,2813
Endogenous,RIMS3,NM_014747.2,162,82,312,448,200,466,449,62,135,31,20,66,69,84,74,45,46,120,42,107,33,21,49,30,24,306,131
Endogenous,RND1,NM_014470.2,82,18,24,22,47,12,50,23,3,43,26,28,23,27,30,18,122,39,9,28,16,6,16,12,15,18,31
Endogenous,ROR1,NM_001083592.1,39,57,341,173,289,144,149,125,172,174,73,120,84,93,150,109,36,295,43,148,405,88,89,162,79,287,191
Endogenous,ROR2,NM_004560.2,48,251,397,159,315,130,349,270,230,263,285,206,259,122,522,402,103,89,102,675,349,448,167,626,243,440,168
Endogenous,RRM2,NM_001034.1,571,387,1642,1923,770,3411,1812,516,1220,680,111,1917,2303,438,973,1032,644,1448,527,391,591,374,1653,1886,305,4178,1497
Endogenous,S100A7,NM_002963.3,160,9,16,15283,948,64,8,16,5,47,356,10396,10,57,436,6,9998,149,26,3471,7,731,856,11,4,2,2748
Endogenous,SALL2,NM_005407.1,74,80,137,118,40,173,57,45,249,48,30,123,20,40,50,27,11,39,26,52,177,56,124,105,48,364,145
Endogenous,SAMD11,NM_152486.2,64,101,64,26,36,33,27,36,102,163,29,49,15,18,10,12,152,11,16,19,79,26,52,15,26,150,93
Endogenous,SAMHD1,NM_015474.2,3405,1057,2733,1993,2228,1838,1322,1131,252,1022,1177,1009,2764,1010,905,2625,660,870,1295,1837,1002,768,756,1260,1571,1041,5880
Endogenous,SDPR,NM_004657.5,41,131,164,202,197,464,16,16,9,39,87,52,31,12,12,32,7,4,25,40,128,36,33,36,46,32,46
Endogenous,SELENBP1,NM_003944.2,784,404,2200,1227,1223,10296,749,483,1328,1158,760,430,29,304,285,171,747,201,241,224,870,164,309,48,100,713,835
Endogenous,SERPINB1,NM_030666.2,1058,448,777,590,1216,1150,451,353,578,534,880,567,1352,566,719,544,313,416,746,888,263,349,682,633,413,551,882
Endogenous,SH3BGR,NM_007341.2,17,89,71,130,47,179,151,49,92,39,18,53,21,63,34,33,23,23,5,42,37,15,28,23,17,207,55
Endogenous,SH3BP2,NM_003023.4,1059,647,1457,1374,1807,4230,1025,481,1509,2209,483,632,740,595,727,408,449,611,545,1045,717,357,659,1421,426,434,1618
Endogenous,SHROOM2,NM_001649.2,56,94,142,192,158,192,79,50,341,104,31,196,80,151,268,72,27,33,20,148,128,98,172,329,74,226,200
Endogenous,SLC26A2,NM_000112.3,348,563,460,2663,438,2645,1610,274,325,4901,232,402,939,1159,268,251,163,236,256,630,281,280,315,677,238,1486,177
Endogenous,SLC34A2,NM_006424.2,264,115,512,1377,2024,390,1826,479,151,13,49,417,4,398,1052,11,34,519,15,73,9,1,10,4,39,72,172
Endogenous,SLC38A3,NM_006841.4,12,101,697,163,37,68,148,24,44,44,11,29,27,68,24,11,23,139,7,42,89,14,15,107,16,41,142
Endogenous,SLC47A2,NM_152908.3,13,70,81,132,244,83,22,21,11,25,4,15,28,9,14,1,9,7,4,57,16,44,719,26,6,9,12
Endogenous,SLC7A8,NM_001267036.1,95,150,335,261,331,985,36,217,99,222,193,151,233,92,408,284,81,61,176,439,1249,696,905,150,151,167,129
Endogenous,SNN,NM_003498.4,1713,311,794,1100,792,1919,1545,339,902,787,391,1081,1083,635,552,552,446,659,535,853,685,355,1021,1725,347,749,1058
Endogenous,SOX10,NM_006941.3,8,711,1267,166,61,2073,14,599,9,1060,30,337,6,329,108,18,17,10,4,38,20,9,11,8,41,1293,324
Endogenous,SPARC,NM_003118.3,5969,9675,43689,16975,55002,14497,16697,23587,10871,33066,26148,27610,27504,16439,63872,51100,11049,6408,7004,70534,58690,34939,16901,58971,27740,15454,17303
Endogenous,SPINK6,NM_205841.3,16,71,91,170,247,97,11,13,140,10,6,26,4,6,112,15,5,4,2,15,21,137,8,10,7,10,6
Endogenous,SPON1,NM_006108.2,155,563,2305,426,3646,266,258,843,646,826,853,715,111,366,214,1170,226,83,282,1319,300,869,683,236,435,218,625
Endogenous,SPP1,NM_000582.2,823,725,5922,5475,1308,47912,3974,8499,3370,3365,4588,5900,2496,7452,10684,1023,1358,8523,1936,10782,2071,3982,13274,5930,462,2398,8796
Endogenous,SPRR1A,NM_005987.2,23,147,294,927,930,507,6,19,10,12,15,137,9,7,9,10,43,14,3,77,21,113,6027,13,13,9,4
Endogenous,SPRR2A,NM_005988.2,25,277,363,2856,897,512,20,26,5,31,14,317,13,13,9,12,21,3,4,18,10,116,4576,21,18,13,13
Endogenous,SPRR2D,NM_006945.4,7,65,85,995,97,116,9,16,2,13,14,142,9,13,7,4,21,2,4,23,8,111,1290,11,4,4,7
Endogenous,STAT1,NM_139266.1,5070,1914,2253,3993,3337,3449,5481,2368,750,1660,1752,2336,10342,5071,1898,6273,1621,4867,3412,2584,708,1091,2589,3304,2164,5188,7601
Endogenous,STC1,NM_003155.2,33,82,165,169,90,381,250,63,70,58,55,91,430,157,737,86,83,63,43,40,206,220,134,270,59,140,444
Endogenous,STEAP4,NM_024636.2,467,304,2438,492,6071,236,56,165,50,211,986,332,97,187,135,271,237,52,164,146,44,148,152,49,192,154,1253
Endogenous,STON1,NM_001198595.1,107,288,676,243,580,479,1404,439,878,959,178,220,221,281,127,159,135,87,51,578,211,364,253,165,219,1898,267
Endogenous,SULF1,NM_001128204.1,475,1565,2377,1626,1235,732,1178,1965,353,1538,989,2182,1946,2271,1768,4692,1370,829,738,4486,1505,1930,1810,994,2129,549,1686
Endogenous,SYNGR1,NM_145731.3,508,344,983,477,687,1767,259,504,1017,836,83,474,156,359,373,73,141,127,46,182,193,80,177,80,83,793,486
Endogenous,TAGLN3,NM_001008273.1,18,76,177,157,61,294,17,19,10,17,10,35,13,13,14,6,7,12,4,18,32,66,33,14,7,106,14
Endogenous,TAP1,NM_000593.5,765,202,344,285,479,298,878,370,70,183,262,442,2192,728,346,745,258,944,679,347,192,317,260,687,284,379,1117
Endogenous,TCF7,NM_201633.2,1680,232,167,68,148,57,797,158,239,140,93,100,318,90,99,95,22,104,140,163,96,178,91,288,151,150,303
Endogenous,TCN1,NM_001062.3,14,53,54,219,57,40,617,9,10,11,105,15,187,16,7,28,140,7,5,41,28,58,396,13,5,21,22
Endogenous,TF,NM_001063.2,31,20,125,11,27,3216,161,22,85,446,30,46,5,1280,22,19,9,92,44,38,24,17,24,273,13,1293,47
Endogenous,TFCP2L1,NM_014553.2,29,243,1465,679,749,864,997,316,202,419,33,1328,209,487,532,16,74,199,5,140,23,12,106,875,27,356,318
Endogenous,TFPI2,NM_006528.3,138,22,259,41,41,83,362,18,290,52,175,21,18,94,16,1608,20,271,169,27,107,151,43,20,27,35,184
Endogenous,THBS2,NM_003247.3,488,745,2439,2144,7766,430,1273,1780,745,1580,2429,3352,286,2682,4765,3351,1269,283,370,3469,3040,3089,2190,234,2254,2422,2299
Endogenous,THY1,NM_006288.2,843,906,1808,1295,4919,713,814,1618,367,2018,1447,1751,1384,1289,202,2752,975,273,804,5370,4975,2420,1233,3802,2401,1093,1277
